/*Temperaturdata for året 2012*/

/*Dato  Maksimum   Minimum*/


**************datafelt******************

01.01.12     -5     -12
02.01.12     -6     -12
03.01.12     -5     -11
04.01.12     -10     -15
05.01.12     -6     -13
06.01.12     -5     -12
07.01.12     -9     -14
08.01.12     -9     -16
09.01.12     -9     -16
10.01.12     -7     -12
11.01.12     -7     -12
12.01.12     -8     -13
13.01.12     -6     -12
14.01.12     -7     -14
15.01.12     -8     -15
16.01.12     -5     -10
17.01.12     -5     -10
18.01.12     -7     -13
19.01.12     -5     -11
20.01.12     -9     -14
21.01.12     -5     -10
22.01.12     -8     -13
23.01.12     -7     -14
24.01.12     -7     -13
25.01.12     -5     -11
26.01.12     -5     -12
27.01.12     -6     -11
28.01.12     -7     -13
29.01.12     -5     -10
30.01.12     -9     -15
31.01.12     -6     -13
01.02.12     -5     -12
02.02.12     -6     -12
03.02.12     -5     -11
04.02.12     -10     -15
05.02.12     -6     -13
06.02.12     -5     -12
07.02.12     -9     -14
08.02.12     -9     -16
09.02.12     -9     -16
10.02.12     -7     -12
11.02.12     -7     -12
12.02.12     -8     -13
13.02.12     -6     -12
14.02.12     -7     -14
15.02.12     -8     -15
16.02.12     -5     -10
17.02.12     -5     -10
18.02.12     -7     -13
19.02.12     -5     -11
20.02.12     -9     -14
21.02.12     -5     -10
22.02.12     -8     -13
23.02.12     -7     -14
24.02.12     -7     -13
25.02.12     -5     -11
26.02.12     -5     -12
27.02.12     -6     -11
28.02.12     -7     -13
01.03.12     0     -5
02.03.12     -4     -10
03.03.12     -1     -8
04.03.12     -3     -8
05.03.12     -5     -11
06.03.12     -1     -8
07.03.12     -1     -7
08.03.12     -3     -8
09.03.12     -3     -8
10.03.12     -1     -8
11.03.12     -5     -10
12.03.12     -2     -9
13.03.12     -2     -9
14.03.12     -5     -11
15.03.12     -5     -12
16.03.12     -1     -8
17.03.12     0     -6
18.03.12     -5     -10
19.03.12     -3     -9
20.03.12     0     -6
21.03.12     -3     -8
22.03.12     -2     -9
23.03.12     -2     -9
24.03.12     -4     -9
25.03.12     -5     -10
26.03.12     -2     -9
27.03.12     0     -5
28.03.12     0     -7
29.03.12     -3     -9
30.03.12     -5     -10
31.03.12     0     -5
01.04.12     3     -2
02.04.12     4     -1
03.04.12     5     0
04.04.12     5     -2
05.04.12     3     -3
06.04.12     5     -1
07.04.12     2     -4
08.04.12     3     -3
09.04.12     4     -2
10.04.12     3     -4
11.04.12     1     -4
12.04.12     1     -6
13.04.12     3     -2
14.04.12     5     -2
15.04.12     1     -6
16.04.12     5     0
17.04.12     2     -4
18.04.12     2     -4
19.04.12     3     -4
20.04.12     0     -7
21.04.12     0     -7
22.04.12     4     -3
23.04.12     0     -7
24.04.12     2     -3
25.04.12     1     -4
26.04.12     2     -5
27.04.12     1     -6
28.04.12     2     -4
29.04.12     0     -5
30.04.12     0     -5
01.05.12     15     9
02.05.12     16     11
03.05.12     20     14
04.05.12     15     8
05.05.12     15     8
06.05.12     16     9
07.05.12     17     11
08.05.12     15     9
09.05.12     20     15
10.05.12     15     8
11.05.12     16     10
12.05.12     20     13
13.05.12     20     15
14.05.12     17     10
15.05.12     16     9
16.05.12     19     14
17.05.12     17     11
18.05.12     15     8
19.05.12     16     9
20.05.12     18     12
21.05.12     18     13
22.05.12     16     11
23.05.12     19     12
24.05.12     17     12
25.05.12     15     10
26.05.12     15     8
27.05.12     17     10
28.05.12     20     13
29.05.12     16     10
30.05.12     15     10
31.05.12     19     13
01.06.12     22     15
02.06.12     24     17
03.06.12     22     15
04.06.12     23     17
05.06.12     24     19
06.06.12     22     17
07.06.12     22     17
08.06.12     20     13
09.06.12     24     17
10.06.12     25     18
11.06.12     21     16
12.06.12     20     15
13.06.12     25     20
14.06.12     22     17
15.06.12     21     14
16.06.12     25     20
17.06.12     24     17
18.06.12     25     18
19.06.12     22     15
20.06.12     23     17
21.06.12     25     20
22.06.12     23     18
23.06.12     23     17
24.06.12     24     18
25.06.12     22     16
26.06.12     24     18
27.06.12     23     18
28.06.12     24     17
29.06.12     25     20
30.06.12     25     18
01.07.12     22     17
02.07.12     24     19
03.07.12     25     19
04.07.12     22     16
05.07.12     21     14
06.07.12     21     16
07.07.12     24     19
08.07.12     25     20
09.07.12     21     15
10.07.12     21     15
11.07.12     21     15
12.07.12     20     14
13.07.12     21     14
14.07.12     23     17
15.07.12     22     16
16.07.12     22     16
17.07.12     25     20
18.07.12     20     14
19.07.12     22     16
20.07.12     22     15
21.07.12     25     19
22.07.12     23     17
23.07.12     20     13
24.07.12     22     15
25.07.12     25     20
26.07.12     21     15
27.07.12     20     14
28.07.12     21     15
